LebwohlLasher: Size: 50, Steps: 50, T*: 0.500: Order: 0.340, Time: 0.517040 s
         1003067 function calls (988177 primitive calls) in 0.967 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 unicode.py:63(<listcomp>)
      698    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
      276    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        8    0.000    0.000    0.001    0.000 core.py:2678(__init__)
       52    0.000    0.000    0.000    0.000 numeric.py:67(zeros_like)
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
       70    0.000    0.000    0.001    0.000 deprecation.py:257(rename_parameter)
      210    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        2    0.000    0.000    0.010    0.005 core.py:206(read_style_directory)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
    72/12    0.000    0.000    0.002    0.000 core.py:3861(parseImpl)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      134    0.000    0.000    0.001    0.000 inspect.py:3014(replace)
  422/319    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
       12    0.000    0.000    0.000    0.000 __init__.py:223(define_aliases)
      363    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      189    0.000    0.000    0.000    0.000 inspect.py:1867(_signature_get_user_defined_method)
  214/170    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
      132    0.000    0.000    0.000    0.000 ast.py:430(visit_Constant)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      633    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      563    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      877    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      211    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 _base.py:542(_AxesBase)
     1136    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       14    0.000    0.000    0.001    0.000 core.py:595(set_parse_action)
  815/577    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      356    0.000    0.000    0.000    0.000 inspect.py:199(ismethod)
      618    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
      103    0.000    0.000    0.000    0.000 posixpath.py:71(join)
     1876    0.000    0.000    0.000    0.000 __init__.py:847(<lambda>)
        1    0.000    0.000    0.070    0.070 rcsetup.py:1(<module>)
      200    0.000    0.000    0.000    0.000 pyplot.py:164(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.009    0.009 _axes.py:46(Axes)
     35/5    0.000    0.000    0.001    0.000 core.py:3675(streamline)
        1    0.000    0.000    0.001    0.001 core.py:400(ParserElement)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      448    0.000    0.000    0.000    0.000 colors.py:348(<genexpr>)
      317    0.000    0.000    0.000    0.000 function_base.py:483(_add_docstring)
      407    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
    26/14    0.000    0.000    0.001    0.000 core.py:4108(parseImpl)
       12    0.000    0.000    0.001    0.000 _docstring.py:57(<listcomp>)
      868    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      836    0.000    0.000    0.000    0.000 inspect.py:3006(parameters)
